change_isced68;sh_25.64_isced02_2012;sh_25.64_isced3_2012;sh_25.64_isced68_2012;mortality_25.64_2010;fertility_25.64_2010;migration_fr_25.64
4.41825E-05;0.000104698;0.000107789;0.000213932;0.0000298715;0.010823569;-0.008205748
7.00197E-05;0.000106867;8.79755E-05;0.000146872;0.0000266485;0.009655763;-0.007320391
7.48871E-05;0.000201167;0.000144891;0.000290315;0.0000522751;0.018941246;-0.01436006
4.94926E-05;8.07169E-05;0.00012964;0.000266857;0.0000325442;0.011791994;-0.008939947
5.30634E-05;0.000136833;0.000149878;0.000341648;0.00004465;0.016178388;-0.012265434
5.28963E-05;6.26674E-05;7.60287E-05;0.000159998;0.0000206742;0.007491049;-0.005679242
3.76173E-05;7.68798E-05;7.84951E-05;0.000147871;0.0000230325;0.008345542;-0.006327064
6.91E-05;0.000120409;0.000116291;0.000255305;0.0000348239;0.012618003;-0.009566175
7.6217E-05;0.000118955;9.00752E-05;0.000193178;0.000030579;0.011079917;-0.008400095
4.03499E-05;0.000119996;7.42247E-05;0.000114856;0.000021932;0.007946779;-0.006024747
7.80079E-05;0.000149167;0.000101279;0.00017193;0.000030579;0.011079917;-0.008400095
6.17505E-05;0.000153319;0.000116382;0.000257579;0.000039226;0.014213055;-0.010775443
4.06018E-05;0.000157393;0.000117409;0.000298339;0.0000416629;0.015096031;-0.01144486
5.54662E-05;9.80767E-05;9.73782E-05;0.000197445;0.0000271988;0.009855145;-0.00747155
7.30552E-05;0.000181207;0.000149333;0.000287372;0.0000440998;0.015979006;-0.012114276
0.000125872;0.00012682;9.6657E-05;0.00022887;0.0000333303;0.012076825;-0.009155888
7.71548E-05;0.000125796;9.80512E-05;0.000196729;0.000030579;0.011079917;-0.008400095
8.27582E-05;0.000199935;0.000169564;0.000312002;0.0000502313;0.018200686;-0.013798614
0.000105217;0.000147019;9.02499E-05;0.000203078;0.0000334089;0.012105308;-0.009177482
7.49563E-05;0.000200152;0.000115194;0.000218245;0.0000416629;0.015096031;-0.01144486
4.22058E-05;0.000159631;0.000104185;0.00027002;0.0000374966;0.013586428;-0.010300374
5.72588E-05;9.21971E-05;9.23011E-05;0.000184278;0.0000257052;0.009313966;-0.007061262
0.000118516;0.000141643;0.000132147;0.000259011;0.0000404837;0.014668785;-0.011120948
9.32411E-05;0.000102914;9.95485E-05;0.000214319;0.0000292426;0.010595705;-0.008032996
4.2795E-05;0.000141621;0.000103358;0.000250821;0.0000330945;0.011991375;-0.009091105
7.87198E-05;0.000168125;0.000107606;0.000184331;0.0000362388;0.013130699;-0.009954868
5.60796E-05;0.000143341;5.5869E-05;0.000130856;0.0000253908;0.009200034;-0.006974886
4.92577E-05;0.000191913;8.16642E-05;0.00013437;0.000030579;0.011079917;-0.008400095
0.000159875;0.000218336;0.000134012;0.000289927;0.0000458292;0.016605634;-0.012589345
8.60195E-05;0.000164896;8.43E-05;0.000152938;0.0000326228;0.011820477;-0.008961541
4.09735E-05;0.000237911;7.95601E-05;0.000167219;0.0000391474;0.014184572;-0.010753849
2.94361E-05;0.000221571;0.00010026;0.00016585;0.000039619;0.014355471;-0.010883414
6.42221E-05;0.000170219;8.10726E-05;0.000138641;0.0000325442;0.011791994;-0.008939947
